а, 0.069305954825462
б, 0.0146858316221766
в, 0.0484106776180698
г, 0.0155564681724846
ґ, 3.28542094455852e-05
д, 0.0282874743326489
е, 0.0467679671457906
є, 0.00335112936344969
ж, 0.0118932238193018
з, 0.0218809034907598
и, 0.0523367556468173
і, 0.0436796714579055
ї, 0.00307186858316222
й, 0.0117289527720739
к, 0.0302915811088296
л, 0.0294373716632444
м, 0.0263326488706365
н, 0.0483285420944559
о, 0.0784887063655031
п, 0.0259876796714579
р, 0.0360246406570842
с, 0.0318028747433265
т, 0.0398850102669405
у, 0.0294045174537988
ф, 0.000985626283367556
х, 0.00765503080082136
ц, 0.00630800821355236
ч, 0.0120082135523614
ш, 0.00824640657084189
щ, 0.00650513347022587
ь, 0.0117618069815195
ю, 0.00520739219712526
я, 0.0215359342915811
